video_id,title,rating_view,rating_comments,rating_good,published_date,description
Cd_GAUzSUAk,ASMR MUKBANG 직접 만든 치즈 불닭볶음면 김밥 치킨먹방! RAMYEON &amp; KIMBAP MUKBANG EATING SOUND! #32,3848936,0,16164,2024-03-25T12:18:57Z,ASMR MUKBANG 직접 만든 치즈 불닭볶음면 김밥 치킨먹방! RAMYEON & KIMBAP MUKBANG EATING SOUND! #32.
Gp-Y3z4BkC0,불닭쌈 빨리 먹기 vs 잼못타하드 빨리 올라가기.. 몇개까지 먹을 수 있을까?,300847,489,3365,2024-03-14T08:00:13Z,"업로드 날짜: 화,목,금,토 게임링크: 비엔나대원이 되는 방법!"
09D-kziosQk,유퀴즈 불닭 미친 레시피,5475694,555,119327,2024-03-10T10:26:02Z,
U8efX1uA7Rg,외국에서만 파는 불닭은 덜 매울까?,883748,427,9748,2024-03-20T10:00:32Z,같이 보면 좋은 추천 영상 https://youtu.be/JRnc5_bsISo?si=2N8CZUoLrDUmoFWE ▷'침착맨의 식욕감퇴 다이어트 먹방' 모아보기 ...
20qX9US4Ss4,까르보 불닭 맛있게 먹는 방법,10873,2,180,2024-03-01T09:00:02Z,
RcTVub3LtKw,커비 삼킨 헬로키티 불닭쌈 Hello Kitty Buldak Ssam,534516,128,29409,2024-03-27T11:00:21Z,불닭쌈 #불닭볶음면 #buldak #spicynoodles #ramen #fyp #viral.
vpQOFk22vrQ,불닭 볶음면 제일 맛있게 먹는 법,2181064,209,55102,2024-03-20T08:28:27Z,
ufXQtNO2NNw,24시간동안 매콤 VS 핵매움!! 어느 정도로 매우면 못 먹는 음식이 될까?!,1186322,1532,13550,2024-03-24T09:00:47Z,노랭이 PD : 두고 보자 출연자 놈들 ※ 강호이 : 두고 보자 제작진 놈들 ※ 진렬이 :우린 다같은 편이잖아... #파뿌리24 #파뿌리 #불닭 ...
xmxoQdpiBE0,두찜 역대급 신상 불닭로제찜닭,31697,2,198,2024-03-19T11:32:11Z,
aHOoNxWmeH8,&quot;30분 운전해 사 와&quot;…불닭볶음면 맛본 카디 비 반응은? / SBS / 굿모닝연예,8112,15,74,2024-03-24T23:32:55Z,"미국의 여성 래퍼, 카디 비가 최근 SNS에 불닭볶음면을 먹는 영상을 올려 눈길을 끌었습니다. 평소 매운 음식을 즐기는 카디 비의 반응 ..."
CJYD_mD1bck,ASMR MUKBANG 직접 만든 치즈 불닭볶음면 김밥 치킨먹방! RAMYEON &amp; KIMBAP MUKBANG EATING SOUND! #38,7254111,0,30527,2024-03-19T13:38:07Z,ASMR MUKBANG 직접 만든 치즈 불닭볶음면 김밥 치킨먹방! RAMYEON & KIMBAP MUKBANG EATING SOUND! #38.
rlWG89BHFI8,불닭으로 인도인 구별하는법,14596080,16518,843202,2024-03-19T09:30:17Z,shorts #불닭볶음면 #한국인 #인도 #먹방 #buldak #indian #spicy #spicynoodles #mukbang #india instagram: yeongmin0917 ...
1hf57O9pECk,불닭볶음면을 99배 완벽하게 만드는법 99cheese Buldak ramen hack #shorts,574333,139,42746,2024-03-22T07:50:41Z,cooking #asmr #shortsfeed #라면 #불닭볶음면 #buldaknoodles #buldakramen #ramen #buldak mukbang #cheese #치즈 ...
TVVbnXkv3fw,통 곱창이랑 불닭 미쳤어요 진짜,1375892,121,45681,2024-03-21T07:53:08Z,
JuDPqBuk800,매운맛을 모르는 카디비 불닭볶음면 먹방 CARDI B BULDAK,22449,16,84,2024-03-23T11:52:26Z,카디비 #카디비먹방 #불닭볶음면먹방 #CARDIB #CardiB #먹방 #cardibbuldak #buldak.
9W__QvZ1CNQ,불닭 뺏긴 조유리,41789,50,2080,2024-03-28T14:20:05Z,조유리 #shorts.
QmL1cbe7U8A,레전드 레시피💗까르보불닭 현재 정식💗,28577,2,623,2024-03-13T07:00:10Z,트위터 1만 알티 탄 믿고 먹는 레시피인데 치즈 좋아하면 무조건 인생 까르보불닭ㅇㅇ @@불닭러버 태그해서 만들어 먹자고 ...
39FuNp91pGY,불닭볶음면+떡볶이+&#39;요거&#39;= 극락 Buldak tteokbokki🌶️🧀 ASMR #shorts,168505,79,11193,2024-03-31T09:24:56Z,asmr #shorts #satisfying #food #cooking #recipe #buldak #tteokbokki #cheese #불닭볶음면 #떡볶이 #콘치즈떡볶이.
